case_id	score_KidneyTumor	score_Tumor
141	0.9743879129189039	0.566933638443936
175	0.9722076455808925	0.7697443413124898
201	0.9242075495137608	0.01303371871304096
3	0.871565004134368	0.8465210766886745
185	0.9357466005012898	0.027100450569838324
143	0.9481074904609358	0.3178294573643411
84	0.7774180800141827	0.24610645730814018
122	0.9553130261847369	0.0
97	0.9541168896784393	0.05979581915410792
96	0.9701422401503712	0.19581227436823104
162	0.9049625112162183	0.32096766512691083
41	0.9636217551909365	0.1008058608058608
132	0.9806666702689267	0.500805152979066
208	0.9208816214927843	0.0
79	0.9038210139073423	0.8738902345337635
171	0.9647663982065097	0.9162464690197735
128	0.947128461973136	0.0
119	0.8869162968056511	0.010193257961865832
71	0.9152756428897844	0.0
124	0.9149171352416442	0.2094488188976378
